Cheating the I/O Bottleneck: Network Storage with Trapeze/Myrinet.	Darrell C. Anderson,Jeffrey S. Chase,Syam Gadde,Andrew J. Gallatin,Kenneth Yocum,Michael J. Feeley	
Deducing Similarities in Java Sources from Bytecodes.	Brenda S. Baker,Udi Manber	
Scalable Kernel Performance for Internet Servers Under Realistic Loads.	Gaurav Banga,Jeffrey C. Mogul	
Kawa - Compiling Dynamic Languages to Java VM.	Per Bothner	
Weblint: Just Another Perl Hack.	Neil Bowers	
The Eclipse Operating System: Providing Quality of Service via Reservation Domains.	John L. Bruno,Eran Gabber,Banu Özden,Avi Silberschatz	
A Framework for Alternate Queueing: Towards Traffic Management by PC-UNIX Based Routers.	Kenjiro Cho	
Automatic Program Transformation with JOIE.	Geoff A. Cohen,David Kaminsky	
ifmail - Fidonet.	Eugene Crosser	
Heimdal: I18N Free Kerberos Implementation.	Johan Danielsson,Assar Westerlund	
Arla: Freely Available AFS Client.	Johan Danielsson,Assar Westerlund	
The Design and Implementation of an IPv6/IPv4 Network Address and Protocol Translator.	Marc E. Fiuczynski,Vincent K. Lam,Brian N. Bershad	
General Purpose Operating System Support for Multiple Page Sizes.	Narayanan Ganapathy,Curt Schimmel	
SLIC: An Extensibility System for Commodity Operating Systems.	Douglas P. Ghormley,Steven H. Rodrigues,David Petrou,Thomas E. Anderson	
Implementing Multiple Protection Domains in Java.	Chris Hawblitzel,Chi-Chao Chang,Grzegorz Czajkowski,Deyu Hu,Thorsten von Eicken	
Dynamic C++ Classes - A Lightweight Mechanism to Update Code in a Running Program.	Gísli Hjálmtýsson,Robert Gray	
GNOME Desktop Project.	Miguel de Icaza,Federico Meno,Elliot Lee,Tom Tromey	
Making Commodity PCs Fit for Signal Processing.	Michael Ismert	
malloc(3) Revisited.	Poul-Henning Kamp	
The Safe-Tcl Security Model.	Jacob Y. Levy,Laurent Demailly,John K. Ousterhout,Brent B. Welch	
High-Performance Caching With The Lava Hit-Server.	Jochen Liedtke,Vsevolod Panteleenko,Trent Jaeger,Nayeem Islam	
Multimedia Driver Support.	James Lowe	
SimICS/Sun4m: A Virtual Workstation.	Peter S. Magnusson,Fredrik Larsson,Andreas Moestedt,Bengt Werner,Jim Nilsson,Per Stenström,Fredrik Lundholm,Magnus Karlsson 0002,Fredrik Dahlgren,Håkan Grahn	
Console Server.	Banson Matheson	
Fast Consistency Checking for the Solaris File System.	J. Kent Peacock,Ashvin Kamaraju,Sanjay Agrawal 0004	
User API for Tape Drives.	Odysseas I. Pentakalos,Aram Khalili	
Linux Emulation for SCO.	Ron Record	
Dummynet and Forward Error Correction.	Luigi Rizzo	
A Transactional Memory in an Extensible Operating System.	Yasushi Saito,Brian N. Bershad	
Increasing Effective Link Bandwidth by Supressing Replicated Data.	Jonathan R. Santos,David Wetherall	
Mhz: Anatomy of a Micro-benchmark.	Carl Staelin,Larry W. McVoy	
Implementation of Multiple Pagesize Support in HP-UX.	Indira Subramanian,Clifford Mather,Kurt Peterson,Balakrishna Raghunath	
Transformer Tunnels: A Framework for Providing Route Specific Adaptations.	Pradeep Sudame,B. R. Badrinath	
Tribeca: A System for Managing Large Databases of Network Traffic.	Mark Sullivan,Andrew Heybey	
A Machine-Independent DMA Framework for Net BSD.	Jason R. Thorpe	
Transparent Result Caching.	Amin Vahdat,Thomas E. Anderson	
1998 USENIX Annual Technical Conference, New Orleans, Louisiana, USA, June 15-19, 1998	Fred Douglis	
