A Case for Enforcing App-Specific Constraints to Mobile Devices by Using Trust Leases.	Nuno Santos 0001,Nuno O. Duarte,Miguel B. Costa,Paulo Ferreira 0001	
Challenges to Adopting Stronger Consistency at Scale.	Phillipe Ajoux,Nathan Bronson,Sanjeev Kumar,Wyatt Lloyd,Kaushik Veeraraghavan	
Beyond Storage APIs: Provable Semantics for Storage Stacks.	Ramnatthan Alagappan,Vijay Chidambaram,Thanumalayan Sankaranarayana Pillai,Andrea C. Arpaci-Dusseau,Remzi H. Arpaci-Dusseau	
Route Bazaar: Automatic Interdomain Contract Negotiation.	Ignacio Castro,Aurojit Panda,Barath Raghavan,Scott Shenker,Sergey Gorinsky	
Amber: Decoupling User Data from Web Applications.	Tej Chajed,Jon Gjengset,Jelle van den Hooff,M. Frans Kaashoek,James Mickens,Robert Tappan Morris,Nickolai Zeldovich	
ASPIRE: Iterative Specification Synthesis for Security.	Kevin Zhijie Chen,Warren He,Devdatta Akhawe,Vijay D&apos;Silva,Prateek Mittal,Dawn Song	
Fault Tolerance and the Five-Second Rule.	Ang Chen 0001,Hanjun Xiao,Andreas Haeberlen,Linh Thi Xuan Phan	
Specifying Crash Safety for Storage Systems.	Haogang Chen 0001,Daniel Ziegler 0002,Adam Chlipala,M. Frans Kaashoek,Eddie Kohler,Nickolai Zeldovich	
Recommendations for Randomness in the Operating System, or How to Keep Evil Children out of Your Pool and Other Random Facts.	Henry Corrigan-Gibbs,Suman Jana	
On Instruction Organization.	Tyler Dwyer,Alexandra Fedorova	
Beyond Processor-centric Operating Systems.	Paolo Faraboschi,Kimberly Keeton,Tim Marsland,Dejan S. Milojicic	
My OS Ought to Know Me Better: In-app Behavioural Analytics as an OS Service.	Earlence Fernandes,Oriana Riva,Suman Nath	
Not Your Parents&apos; Physical Address Space.	Simon Gerber,Gerd Zellweger,Reto Achermann,Kornilios Kourtis,Timothy Roscoe,Dejan S. Milojicic	
Broom: Sweeping Out Garbage Collection from Big Data Systems.	Ionel Gog,Jana Giceva,Malte Schwarzkopf,Kapil Vaswani,Dimitrios Vytiniotis,Ganesan Ramalingam,Manuel Costa,Derek Gordon Murray,Steven Hand 0001,Michael Isard	
The Most Dangerous Code in the Browser.	Stefan Heule,Devon Rifkin,Alejandro Russo,Deian Stefan	
Distributing the Data Plane for Remote Storage Access.	Torsten Hoefler,Robert B. Ross,Timothy Roscoe	
Elastic Memory: Bring Elasticity Back to In-Memory Big Data Analytics.	Joo Seong Jeong,Woo-Yeon Lee,Yunseong Lee,Youngseok Yang,Brian Cho,Byung-Gon Chun	
Failure Sketches: A Better Way to Debug.	Baris Kasikci,Cristiano Pereira,Gilles Pokam,Benjamin Schubert,Madanlal Musuvathi,George Candea	
FlexNIC: Rethinking Network DMA.	Antoine Kaufmann,Simon Peter 0001,Thomas E. Anderson,Arvind Krishnamurthy	
Trash Day: Coordinating Garbage Collection in Distributed Systems.	Martin Maas 0001,Tim Harris 0001,Krste Asanovic,John Kubiatowicz	
Scalability! But at what COST?	Frank McSherry,Michael Isard,Derek Gordon Murray	
Inferring the Network Latency Requirements of Cloud Tenants.	Jeffrey C. Mogul,Ramana Rao Kompella	
Practical Always-on Taint Tracking on Mobile Devices.	Justin Paupore,Earlence Fernandes,Atul Prakash 0001,Sankardas Roy,Xinming Ou	
A Case for Ending Monolithic Apps for Connected Devices.	Rayman Preet Singh,Chenguang Shen,Amar Phanishayee,Aman Kansal,Ratul Mahajan	
Lax: Driver Interfaces for Approximate Sensor Device Access.	Phillip Stanley-Marbell,Martin C. Rinard	
The Case for Less Predictable Operating System Behavior.	Ruimin Sun,Donald E. Porter,Daniela Oliveira 0001,Matt Bishop	
From Lone Dwarfs to Giant Superclusters: Rethinking Operating System Abstractions for the Cloud.	Nikos Vasilakis,Ben Karel,Jonathan M. Smith	
The Activity Platform.	Helen J. Wang,Alexander Moshchuk,Michael Gamon,Shamsi T. Iqbal,Eli T. Brown,Ashish Kapoor,Christopher Meek,Eric Y. Chen,Yuan Tian 0001,Jaime Teevan,Mary Czerwinski,Susan T. Dumais	
Software Engagement with Sleeping CPUs.	Qi Zhu,Meng Zhu,Bo Wu 0002,Xipeng Shen,Kai Shen,Zhiying Wang 0003	
15th Workshop on Hot Topics in Operating Systems, HotOS XV, Kartause Ittingen, Switzerland, May 18-20, 2015	George Candea	
