VLSI Architecture for Encryption and Watermarking Units Towards the Making of a Secure Camera.	Oluwayomi B. Adamo,Saraju P. Mohanty,Elias Kougianos,Murali R. Varanasi	10.1109/SOCC.2006.283868
Leakage Reduction for Domino Circuits in Sub-65nm Technologies.	Manjari Agarwal,Praveen Elakkumanan,Ramalingam Sridhar	10.1109/SOCC.2006.283873
High-performance energy-efficient memory circuit technologies for sub-45nm technologies.	Amit Agarwal 0001,Ram Krishnamurthy 0001	10.1109/SOCC.2006.283907
A Reconfigurable Viterbi Traceback for Implemenation on Turbo Decoding Array.	Imran Ahmed 0001,Tughrul Arslan	10.1109/SOCC.2006.283858
A Trace-Driven Validation Methodology for Multi-Processor SOCS.	Jayanta Bhadra,Ekaterina Trofimova,Leonard J. Giordano,Magdy S. Abadir	10.1109/SOCC.2006.283869
Architecture for Low Power Large Vocabulary Speech Recognition.	Dhruba Chandra,Ullas Pazhayaveetil,Paul D. Franzon	10.1109/SOCC.2006.283836
Cell Switched Network-on-Chip - Candidate for Billion-Transistor System-on-Chips.	Yuhua Chen	10.1109/SOCC.2006.283843
On Achieving Low-Power SoC Clock Tree Synthesis by Transition Time Planning via Buffer Library Study.	Huang-Liang Chen,Hung-Ming Chen	10.1109/SOCC.2006.283881
Compiler Support for Voltage Islands.	Guangyu Chen,Mahmut T. Kandemir,Mustafa Karaköy	10.1109/SOCC.2006.283878
Energy-Aware Code Replication for Improving Reliability in Embedded Chip Multiprocessors.	Guilin Chen,Ozcan Ozturk 0001,Guangyu Chen,Mahmut T. Kandemir	10.1109/SOCC.2006.283848
A Novel Mini-LVDS Receiver in 0.35-um CMOS.	Chung-Yuan Chen,Jia-Hong Wang,Tai-Ping Sun	10.1109/SOCC.2006.283845
Geometric Tiling for Reducing Power Consumption in Structured Matrix Operations.	G. Chen,Liping Xue,Jungsub Kim,Kanwaldeep Sobti,Lanping Deng,Xiaobai Sun,Nikos Pitsianis,Chaitali Chakrabarti,Mahmut T. Kandemir,Narayanan Vijaykrishnan	10.1109/SOCC.2006.283861
A Mimo Receiver SOC for CDMA Applications.	Tongtong Chen,Zhengtao Yu 0002,Yuantao Peng,Yanbing Zhang,Huaiyu Dai,Xun Liu	10.1109/SOCC.2006.283897
Method for Managing Electromigration in SOC&apos;S When Designing for Both Reliability and Manufacturing.	Karen Chow,David Abercrombie,Mark Basel	10.1109/SOCC.2006.283855
eXtreme Energy Conservation for Mobile Communications.	Christopher K. Y. Chun	10.1109/SOCC.2006.283877
Platform-Based Behavior-Level and System-Level Synthesis.	Jason Cong,Yiping Fan,Guoling Han,Wei Jiang,Zhiru Zhang	10.1109/SOCC.2006.283880
Silicon Debug and DFT for SOC IP.	N. Dakwala	10.1109/SOCC.2006.283910
Effects of Interconnect Process Variations on Signal Integrity.	Ertugrul Demircan	10.1109/SOCC.2006.283898
Modeling the Impact of Process Variation on Critical Charge Distribution.	Qian Ding,Rong Luo,Hui Wang 0004,Huazhong Yang,Yuan Xie 0001	10.1109/SOCC.2006.283890
A Dual-Function Filter for 5.25GHZ Narrowband and 3.6GHZ-10.1GHZ Ultrawideband Systems.	Anh Dinh,Bi Pham	10.1109/SOCC.2006.283839
A Timing Jitter Reduction Technique in a Cyclic Injection Clock Multiplier for Data Communication System.	Qingjin Du,Jingcheng Zhuang,Tad A. Kwasniewski	10.1109/SOCC.2006.283864
