Fast and Secure Laptop Backups with Encrypted De-duplication.	Paul Anderson 0003,Le Zhang	
iSCSI SANs Don&apos;t Have to Suck.	Derek J. Balling	
Configuration Management for Mac OS X: It&apos;s Just Unix, Right?	Janet Bass,David Pullman	
Using TCP/IP Traffic Shaping to Achieve iSCSI Service Predictability.	Jarle Bjørgeengen,Hårek Haugerud	
Experiences with Eucalyptus: Deploying an Open Source Cloud.	Rick Bradshaw,Piotr T. Zbiegiel	
First Step Towards Automatic Correction of Firewall Policy Faults.	Fei Chen 0001,Alex X. Liu,JeeHyun Hwang,Tao Xie 0001	
Keeping Track of 70, 000+ Servers: The Akamai Query System.	Jeff Cohen,Thomas Repantis,Sean McDermott,Scott Smith,Joel Wein	
A Survey of System Configuration Tools.	Thomas Delaet,Wouter Joosen,Bart Van Brabant	
Using Syslog Message Sequences for Predicting Disk Failures.	R. Wesley Featherstun,Errin W. Fulp	
In-Flight Mechanics: A Software Package Management Conversion Project.	Philip J. Hollenback	
Towards Automatic Update of Access Control Policy.	Jinwei Hu,Yan Zhang 0003,Ruixuan Li 0001	
YAF: Yet Another Flowmeter.	Christopher Inacio,Brian Trammell	
Empirical Virtual Machine Models for Performance Guarantees.	Hyong S. Kim	
High Performance Multi-Node File Copies and Checksums for Clustered File Systems.	Paul Z. Kolano,Robert Ciotti	
Log Analysis and Event Correlation Using Variable Temporal Event Correlator (VTEC).	Paul Krizak	
Internet on the Edge.	Andrew Mundy	
The Margrave Tool for Firewall Analysis.	Timothy Nelson 0001,Christopher Barratt,Daniel J. Dougherty,Kathi Fisler,Shriram Krishnamurthi	
PeerMon: A Peer-to-Peer Network Monitoring System.	Tia Newhall,Janis Libeks,Ross Greenwood,Jeff Knerr	
Chukwa: A System for Reliable Large-Scale Log Collection.	Ariel Rabkin,Randy H. Katz	
Implementing IPv6 at ARIN.	Matt Ryanczak	
RC2 - A Living Lab for Cloud Computing.	Kyung Dong Ryu,Xiaolan Zhang 0001,Glenn Ammons,Vasanth Bala,Stefan Berger,Dilma M. Da Silva,Jim Doran,Frank Franco,Alexei A. Karve,Herb Lee,James A. Lindeman,Ajay Mohindra,Bob Oesterlin,Giovanni Pacifici,Dimitrios E. Pendarakis,Darrell Reimer,Mariusz Sabath	
When Anti-virus Doesn&apos;t Cut It: Catching Malware with SIEM.	Wyman Stocks	
Anycast as a Load Balancing Feature.	Fernanda Weiden,Peter Frost	
Managing Vendor Relations: A Case Study of Two HPC Network Issues.	Loren Wilson	
Uncovering the Secrets of System Administration: Proceedings of the 24th Large Installation System Administration Conference, LISA 2010, San Jose, CA, USA, November 7-12, 2010	Rudi van Drunen	
